AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR
4.2|5.1|4.6|381|IId Miscellaneous lymphoreticular neoplasms|83184415|0-19|All Races|Male and Female|2016
0.3|0.5|0.4|33|IIe Unspecified lymphomas|83184415|0-19|All Races|Male and Female|2016
8.2|9.5|8.9|731|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|83184415|0-19|All Races|Male and Female|2016
8.1|9.4|8.7|717|IVa Neuroblastoma and ganglioneuroblastoma|83184415|0-19|All Races|Male and Female|2016
~|~|~|~|IVb Other peripheral nervous cell tumors|83184415|0-19|All Races|Male and Female|2016
11.5|13.0|12.2|1018|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|83184415|0-19|All Races|Male and Female|2016
4.5|5.4|4.9|410|IXa Rhabdomyosarcomas|83184415|0-19|All Races|Male and Female|2016
0.9|1.4|1.1|92|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|83184415|0-19|All Races|Male and Female|2016
~|~|~|~|IXc Kaposi sarcoma|83184415|0-19|All Races|Male and Female|2016
4.2|5.2|4.7|392|IXd Other specified soft tissue sarcomas|83184415|0-19|All Races|Male and Female|2016
1.2|1.7|1.5|122|IXe Unspecified soft tissue sarcomas|83184415|0-19|All Races|Male and Female|2016
34.4|37.0|35.7|2958|Ia Lymphoid leukemias|83184415|0-19|All Races|Male and Female|2016
8.0|9.2|8.6|716|Ib Acute myeloid leukemias|83184415|0-19|All Races|Male and Female|2016
2.5|3.3|2.9|240|Ic Chronic myeloproliferative diseases|83184415|0-19|All Races|Male and Female|2016
1.2|1.8|1.5|122|Id Myelodysplastic syndrome and other myeloproliferative diseases|83184415|0-19|All Races|Male and Female|2016
0.9|1.3|1.1|91|Ie Unspecified and other specified leukemias|83184415|0-19|All Races|Male and Female|2016
0.2|0.5|0.3|27|Not classified by ICCC|83184415|0-19|All Races|Male and Female|2016
2.8|3.6|3.2|260|V RETINOBLASTOMA|83184415|0-19|All Races|Male and Female|2016
6.3|7.5|6.9|570|VI RENAL TUMORS|83184415|0-19|All Races|Male and Female|2016
2.5|3.3|2.9|239|VII HEPATIC TUMORS|83184415|0-19|All Races|Male and Female|2016
9.1|10.4|9.8|817|VIII MALIGNANT BONE TUMORS|83184415|0-19|All Races|Male and Female|2016
4.7|5.7|5.2|435|VIIIa Osteosarcomas|83184415|0-19|All Races|Male and Female|2016
0.2|0.4|0.3|25|VIIIb Chondrosarcomas|83184415|0-19|All Races|Male and Female|2016
3.1|3.9|3.5|291|VIIIc Ewing tumor and related sarcomas of bone|83184415|0-19|All Races|Male and Female|2016
0.5|0.8|0.6|54|VIIId Other specified malignant bone tumors|83184415|0-19|All Races|Male and Female|2016
~|~|~|~|VIIIe Unspecified malignant bone tumors|83184415|0-19|All Races|Male and Female|2016
2.1|2.8|2.4|199|VIIa Hepatoblastoma and mesenchymal tumors of liver|83184415|0-19|All Races|Male and Female|2016
0.3|0.6|0.4|37|VIIb Hepatic carcinomas|83184415|0-19|All Races|Male and Female|2016
~|~|~|~|VIIc Unspecified malignant hepatic tumors|83184415|0-19|All Races|Male and Female|2016
5.5|6.6|6.1|500|VIa Nephroblastoma and other non-epithelial renal tumors|83184415|0-19|All Races|Male and Female|2016
0.6|1.0|0.8|67|VIb Renal carcinomas|83184415|0-19|All Races|Male and Female|2016
~|~|~|~|VIc Unspecified malignant renal tumors|83184415|0-19|All Races|Male and Female|2016
10.5|12.0|11.2|947|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|83184415|0-19|All Races|Male and Female|2016
23.5|25.7|24.6|2081|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|83184415|0-19|All Races|Male and Female|2016
1.0|1.5|1.2|100|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|83184415|0-19|All Races|Male and Female|2016
0.5|0.9|0.7|58|XIIa Other specified malignant tumors|83184415|0-19|All Races|Male and Female|2016
0.4|0.7|0.5|42|XIIb Other unspecified malignant tumors|83184415|0-19|All Races|Male and Female|2016
~|~|~|~|XIa Adrenocortical carcinomas|83184415|0-19|All Races|Male and Female|2016
10.4|11.8|11.1|943|XIb Thyroid carcinomas|83184415|0-19|All Races|Male and Female|2016
0.2|0.5|0.3|28|XIc Nasopharyngeal carcinomas|83184415|0-19|All Races|Male and Female|2016
3.4|4.2|3.8|321|XId Malignant melanomas|83184415|0-19|All Races|Male and Female|2016
~|~|~|~|XIe Skin carcinomas|83184415|0-19|All Races|Male and Female|2016
8.4|9.7|9.0|762|XIf Other and unspecified carcinomas|83184415|0-19|All Races|Male and Female|2016
1.7|2.4|2.0|169|Xa Intracranial and intraspinal germ cell tumors|83184415|0-19|All Races|Male and Female|2016
1.1|1.6|1.3|107|Xb Malignant extracranial and extragonadal germ cell tumors|83184415|0-19|All Races|Male and Female|2016
6.5|7.7|7.1|600|Xc Malignant gonadal germ cell tumors|83184415|0-19|All Races|Male and Female|2016
0.3|0.6|0.4|36|Xd Gonadal carcinomas|83184415|0-19|All Races|Male and Female|2016
0.3|0.6|0.4|35|Xe Other and unspecified malignant gonadal tumors|83184415|0-19|All Races|Male and Female|2016
185.5|191.4|188.4|15739|All ICCC Groups Combined|83308218|0-19|All Races|Male and Female|2017
45.2|48.1|46.6|3878|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|83308218|0-19|All Races|Male and Female|2017
29.3|31.7|30.5|2561|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|83308218|0-19|All Races|Male and Female|2017
32.7|35.2|34.0|2820|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|83308218|0-19|All Races|Male and Female|2017
2.5|3.3|2.9|239|IIIa Ependymomas and choroid plexus tumor|83308218|0-19|All Races|Male and Female|2017
16.8|18.6|17.7|1472|IIIb Astrocytomas|83308218|0-19|All Races|Male and Female|2017
5.2|6.2|5.7|471|IIIc Intracranial and intraspinal embryonal tumors|83308218|0-19|All Races|Male and Female|2017
6.0|7.1|6.5|542|IIId Other gliomas|83308218|0-19|All Races|Male and Female|2017
0.4|0.8|0.6|48|IIIe Other specified intracranial and intraspinal neoplasms|83308218|0-19|All Races|Male and Female|2017
0.4|0.8|0.6|48|IIIf Unspecified intracranial and intraspinal neoplasms|83308218|0-19|All Races|Male and Female|2017
11.3|12.7|12.0|1016|IIa Hodgkin lymphomas|83308218|0-19|All Races|Male and Female|2017
9.5|10.9|10.2|856|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|83308218|0-19|All Races|Male and Female|2017
2.1|2.8|2.5|205|IIc Burkitt lymphoma|83308218|0-19|All Races|Male and Female|2017
5.1|6.1|5.5|458|IId Miscellaneous lymphoreticular neoplasms|83308218|0-19|All Races|Male and Female|2017
0.2|0.5|0.3|26|IIe Unspecified lymphomas|83308218|0-19|All Races|Male and Female|2017
7.9|9.2|8.5|699|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|83308218|0-19|All Races|Male and Female|2017
7.7|9.0|8.3|683|IVa Neuroblastoma and ganglioneuroblastoma|83308218|0-19|All Races|Male and Female|2017
0.1|0.3|0.2|16|IVb Other peripheral nervous cell tumors|83308218|0-19|All Races|Male and Female|2017
11.6|13.1|12.3|1028|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|83308218|0-19|All Races|Male and Female|2017
4.4|5.3|4.8|402|IXa Rhabdomyosarcomas|83308218|0-19|All Races|Male and Female|2017
0.9|1.3|1.1|92|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|83308218|0-19|All Races|Male and Female|2017
~|~|~|~|IXc Kaposi sarcoma|83308218|0-19|All Races|Male and Female|2017
4.1|5.0|4.5|378|IXd Other specified soft tissue sarcomas|83308218|0-19|All Races|Male and Female|2017
1.6|2.2|1.8|154|IXe Unspecified soft tissue sarcomas|83308218|0-19|All Races|Male and Female|2017
32.5|35.0|33.8|2802|Ia Lymphoid leukemias|83308218|0-19|All Races|Male and Female|2017
7.3|8.6|7.9|662|Ib Acute myeloid leukemias|83308218|0-19|All Races|Male and Female|2017
2.3|3.0|2.7|224|Ic Chronic myeloproliferative diseases|83308218|0-19|All Races|Male and Female|2017
1.0|1.5|1.2|99|Id Myelodysplastic syndrome and other myeloproliferative diseases|83308218|0-19|All Races|Male and Female|2017
0.9|1.3|1.1|91|Ie Unspecified and other specified leukemias|83308218|0-19|All Races|Male and Female|2017
0.3|0.5|0.4|33|Not classified by ICCC|83308218|0-19|All Races|Male and Female|2017
2.7|3.5|3.1|253|V RETINOBLASTOMA|83308218|0-19|All Races|Male and Female|2017
6.2|7.3|6.7|556|VI RENAL TUMORS|83308218|0-19|All Races|Male and Female|2017
2.3|3.0|2.7|221|VII HEPATIC TUMORS|83308218|0-19|All Races|Male and Female|2017
8.7|10.0|9.3|787|VIII MALIGNANT BONE TUMORS|83308218|0-19|All Races|Male and Female|2017
4.9|5.9|5.3|450|VIIIa Osteosarcomas|83308218|0-19|All Races|Male and Female|2017
0.2|0.5|0.4|30|VIIIb Chondrosarcomas|83308218|0-19|All Races|Male and Female|2017
2.5|3.3|2.9|242|VIIIc Ewing tumor and related sarcomas of bone|83308218|0-19|All Races|Male and Female|2017
0.4|0.7|0.5|42|VIIId Other specified malignant bone tumors|83308218|0-19|All Races|Male and Female|2017
0.2|0.4|0.3|23|VIIIe Unspecified malignant bone tumors|83308218|0-19|All Races|Male and Female|2017
1.7|2.4|2.0|168|VIIa Hepatoblastoma and mesenchymal tumors of liver|83308218|0-19|All Races|Male and Female|2017
0.4|0.8|0.6|49|VIIb Hepatic carcinomas|83308218|0-19|All Races|Male and Female|2017
~|~|~|~|VIIc Unspecified malignant hepatic tumors|83308218|0-19|All Races|Male and Female|2017
5.5|6.6|6.0|498|VIa Nephroblastoma and other non-epithelial renal tumors|83308218|0-19|All Races|Male and Female|2017
0.5|0.9|0.7|56|VIb Renal carcinomas|83308218|0-19|All Races|Male and Female|2017
~|~|~|~|VIc Unspecified malignant renal tumors|83308218|0-19|All Races|Male and Female|2017
10.5|11.9|11.2|942|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|83308218|0-19|All Races|Male and Female|2017
21.0|23.0|22.0|1870|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|83308218|0-19|All Races|Male and Female|2017
0.9|1.3|1.1|91|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|83308218|0-19|All Races|Male and Female|2017
0.5|0.8|0.7|54|XIIa Other specified malignant tumors|83308218|0-19|All Races|Male and Female|2017
0.3|0.6|0.4|37|XIIb Other unspecified malignant tumors|83308218|0-19|All Races|Male and Female|2017
~|~|~|~|XIa Adrenocortical carcinomas|83308218|0-19|All Races|Male and Female|2017
9.5|10.8|10.1|861|XIb Thyroid carcinomas|83308218|0-19|All Races|Male and Female|2017
0.3|0.7|0.5|41|XIc Nasopharyngeal carcinomas|83308218|0-19|All Races|Male and Female|2017
2.6|3.3|2.9|249|XId Malignant melanomas|83308218|0-19|All Races|Male and Female|2017
~|~|~|~|XIe Skin carcinomas|83308218|0-19|All Races|Male and Female|2017
7.6|8.8|8.2|693|XIf Other and unspecified carcinomas|83308218|0-19|All Races|Male and Female|2017
1.8|2.4|2.1|177|Xa Intracranial and intraspinal germ cell tumors|83308218|0-19|All Races|Male and Female|2017
1.1|1.6|1.3|110|Xb Malignant extracranial and extragonadal germ cell tumors|83308218|0-19|All Races|Male and Female|2017
6.3|7.4|6.8|577|Xc Malignant gonadal germ cell tumors|83308218|0-19|All Races|Male and Female|2017
0.2|0.5|0.4|30|Xd Gonadal carcinomas|83308218|0-19|All Races|Male and Female|2017
0.4|0.8|0.6|48|Xe Other and unspecified malignant gonadal tumors|83308218|0-19|All Races|Male and Female|2017
187.0|192.9|189.9|15865|All ICCC Groups Combined|83321994|0-19|All Races|Male and Female|2018
47.5|50.5|49.0|4069|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|83321994|0-19|All Races|Male and Female|2018
28.7|31.1|29.9|2513|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|83321994|0-19|All Races|Male and Female|2018
29.4|31.8|30.6|2539|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|83321994|0-19|All Races|Male and Female|2018
2.1|2.8|2.4|202|IIIa Ependymomas and choroid plexus tumor|83321994|0-19|All Races|Male and Female|2018
14.4|16.1|15.2|1265|IIIb Astrocytomas|83321994|0-19|All Races|Male and Female|2018
4.9|5.9|5.4|442|IIIc Intracranial and intraspinal embryonal tumors|83321994|0-19|All Races|Male and Female|2018
5.8|6.9|6.3|527|IIId Other gliomas|83321994|0-19|All Races|Male and Female|2018
0.5|0.9|0.7|58|IIIe Other specified intracranial and intraspinal neoplasms|83321994|0-19|All Races|Male and Female|2018
0.4|0.7|0.5|45|IIIf Unspecified intracranial and intraspinal neoplasms|83321994|0-19|All Races|Male and Female|2018
11.5|13.0|12.2|1039|IIa Hodgkin lymphomas|83321994|0-19|All Races|Male and Female|2018
9.8|11.2|10.5|884|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|83321994|0-19|All Races|Male and Female|2018
1.9|2.5|2.2|180|IIc Burkitt lymphoma|83321994|0-19|All Races|Male and Female|2018
4.2|5.2|4.7|385|IId Miscellaneous lymphoreticular neoplasms|83321994|0-19|All Races|Male and Female|2018
0.2|0.4|0.3|25|IIe Unspecified lymphomas|83321994|0-19|All Races|Male and Female|2018
8.4|9.7|9.1|738|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|83321994|0-19|All Races|Male and Female|2018
8.2|9.5|8.8|716|IVa Neuroblastoma and ganglioneuroblastoma|83321994|0-19|All Races|Male and Female|2018
0.2|0.4|0.3|22|IVb Other peripheral nervous cell tumors|83321994|0-19|All Races|Male and Female|2018
10.9|12.3|11.6|969|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|83321994|0-19|All Races|Male and Female|2018
3.9|4.8|4.3|359|IXa Rhabdomyosarcomas|83321994|0-19|All Races|Male and Female|2018
1.0|1.5|1.2|99|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|83321994|0-19|All Races|Male and Female|2018
~|~|~|~|IXc Kaposi sarcoma|83321994|0-19|All Races|Male and Female|2018
4.2|5.2|4.7|393|IXd Other specified soft tissue sarcomas|83321994|0-19|All Races|Male and Female|2018
1.1|1.6|1.4|115|IXe Unspecified soft tissue sarcomas|83321994|0-19|All Races|Male and Female|2018
34.8|37.4|36.1|2994|Ia Lymphoid leukemias|83321994|0-19|All Races|Male and Female|2018
7.4|8.7|8.0|670|Ib Acute myeloid leukemias|83321994|0-19|All Races|Male and Female|2018
2.0|2.7|2.3|196|Ic Chronic myeloproliferative diseases|83321994|0-19|All Races|Male and Female|2018
0.9|1.4|1.2|95|Id Myelodysplastic syndrome and other myeloproliferative diseases|83321994|0-19|All Races|Male and Female|2018
1.1|1.6|1.4|114|Ie Unspecified and other specified leukemias|83321994|0-19|All Races|Male and Female|2018
0.4|0.7|0.5|44|Not classified by ICCC|83321994|0-19|All Races|Male and Female|2018
2.7|3.5|3.1|251|V RETINOBLASTOMA|83321994|0-19|All Races|Male and Female|2018
6.4|7.6|7.0|573|VI RENAL TUMORS|83321994|0-19|All Races|Male and Female|2018
2.6|3.3|2.9|239|VII HEPATIC TUMORS|83321994|0-19|All Races|Male and Female|2018
9.0|10.4|9.7|818|VIII MALIGNANT BONE TUMORS|83321994|0-19|All Races|Male and Female|2018
4.8|5.8|5.2|444|VIIIa Osteosarcomas|83321994|0-19|All Races|Male and Female|2018
0.3|0.6|0.4|34|VIIIb Chondrosarcomas|83321994|0-19|All Races|Male and Female|2018
2.9|3.7|3.3|277|VIIIc Ewing tumor and related sarcomas of bone|83321994|0-19|All Races|Male and Female|2018
0.4|0.7|0.5|43|VIIId Other specified malignant bone tumors|83321994|0-19|All Races|Male and Female|2018
0.1|0.4|0.2|20|VIIIe Unspecified malignant bone tumors|83321994|0-19|All Races|Male and Female|2018
1.9|2.6|2.2|180|VIIa Hepatoblastoma and mesenchymal tumors of liver|83321994|0-19|All Races|Male and Female|2018
0.5|0.8|0.7|55|VIIb Hepatic carcinomas|83321994|0-19|All Races|Male and Female|2018
~|~|~|~|VIIc Unspecified malignant hepatic tumors|83321994|0-19|All Races|Male and Female|2018
5.7|6.8|6.2|508|VIa Nephroblastoma and other non-epithelial renal tumors|83321994|0-19|All Races|Male and Female|2018
0.5|0.9|0.7|60|VIb Renal carcinomas|83321994|0-19|All Races|Male and Female|2018
~|~|~|~|VIc Unspecified malignant renal tumors|83321994|0-19|All Races|Male and Female|2018
9.8|11.2|10.5|888|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|83321994|0-19|All Races|Male and Female|2018
24.0|26.1|25.1|2134|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|83321994|0-19|All Races|Male and Female|2018
0.9|1.3|1.1|90|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|83321994|0-19|All Races|Male and Female|2018
0.4|0.7|0.6|47|XIIa Other specified malignant tumors|83321994|0-19|All Races|Male and Female|2018
0.4|0.7|0.5|43|XIIb Other unspecified malignant tumors|83321994|0-19|All Races|Male and Female|2018
0.2|0.5|0.4|30|XIa Adrenocortical carcinomas|83321994|0-19|All Races|Male and Female|2018
11.3|12.8|12.1|1030|XIb Thyroid carcinomas|83321994|0-19|All Races|Male and Female|2018
0.3|0.6|0.4|35|XIc Nasopharyngeal carcinomas|83321994|0-19|All Races|Male and Female|2018
2.9|3.7|3.3|280|XId Malignant melanomas|83321994|0-19|All Races|Male and Female|2018
~|~|~|~|XIe Skin carcinomas|83321994|0-19|All Races|Male and Female|2018
8.2|9.5|8.8|750|XIf Other and unspecified carcinomas|83321994|0-19|All Races|Male and Female|2018
1.3|1.9|1.6|131|Xa Intracranial and intraspinal germ cell tumors|83321994|0-19|All Races|Male and Female|2018
1.2|1.7|1.4|117|Xb Malignant extracranial and extragonadal germ cell tumors|83321994|0-19|All Races|Male and Female|2018
6.1|7.2|6.7|567|Xc Malignant gonadal germ cell tumors|83321994|0-19|All Races|Male and Female|2018
0.3|0.6|0.5|40|Xd Gonadal carcinomas|83321994|0-19|All Races|Male and Female|2018
0.3|0.5|0.4|33|Xe Other and unspecified malignant gonadal tumors|83321994|0-19|All Races|Male and Female|2018
183.2|185.8|184.5|76428|All ICCC Groups Combined|413514777|0-19|All Races|Male and Female|2018-2022
46.9|48.2|47.5|19505|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|413514777|0-19|All Races|Male and Female|2018-2022
28.0|29.0|28.5|11954|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|413514777|0-19|All Races|Male and Female|2018-2022
28.7|29.7|29.2|11995|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|413514777|0-19|All Races|Male and Female|2018-2022
2.2|2.5|2.4|973|IIIa Ependymomas and choroid plexus tumor|413514777|0-19|All Races|Male and Female|2018-2022
12.9|13.6|13.2|5465|IIIb Astrocytomas|413514777|0-19|All Races|Male and Female|2018-2022
5.0|5.5|5.2|2126|IIIc Intracranial and intraspinal embryonal tumors|413514777|0-19|All Races|Male and Female|2018-2022
6.9|7.4|7.1|2946|IIId Other gliomas|413514777|0-19|All Races|Male and Female|2018-2022
0.5|0.7|0.6|251|IIIe Other specified intracranial and intraspinal neoplasms|413514777|0-19|All Races|Male and Female|2018-2022
0.5|0.6|0.6|234|IIIf Unspecified intracranial and intraspinal neoplasms|413514777|0-19|All Races|Male and Female|2018-2022
11.8|12.4|12.1|5140|IIa Hodgkin lymphomas|413514777|0-19|All Races|Male and Female|2018-2022
10.0|10.6|10.3|4316|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|413514777|0-19|All Races|Male and Female|2018-2022
2.5|2.8|2.6|1078|IIc Burkitt lymphoma|413514777|0-19|All Races|Male and Female|2018-2022
3.1|3.4|3.2|1306|IId Miscellaneous lymphoreticular neoplasms|413514777|0-19|All Races|Male and Female|2018-2022
0.2|0.3|0.3|114|IIe Unspecified lymphomas|413514777|0-19|All Races|Male and Female|2018-2022
8.8|9.4|9.1|3626|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|413514777|0-19|All Races|Male and Female|2018-2022
8.4|9.0|8.7|3457|IVa Neuroblastoma and ganglioneuroblastoma|413514777|0-19|All Races|Male and Female|2018-2022
0.3|0.5|0.4|169|IVb Other peripheral nervous cell tumors|413514777|0-19|All Races|Male and Female|2018-2022
11.7|12.4|12.0|5001|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|413514777|0-19|All Races|Male and Female|2018-2022
4.5|4.9|4.7|1913|IXa Rhabdomyosarcomas|413514777|0-19|All Races|Male and Female|2018-2022
1.0|1.2|1.1|436|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|413514777|0-19|All Races|Male and Female|2018-2022
0.0|0.1|0.0|21|IXc Kaposi sarcoma|413514777|0-19|All Races|Male and Female|2018-2022
4.4|4.8|4.6|1947|IXd Other specified soft tissue sarcomas|413514777|0-19|All Races|Male and Female|2018-2022
1.5|1.8|1.6|684|IXe Unspecified soft tissue sarcomas|413514777|0-19|All Races|Male and Female|2018-2022
34.6|35.8|35.2|14391|Ia Lymphoid leukemias|413514777|0-19|All Races|Male and Female|2018-2022
7.6|8.1|7.9|3249|Ib Acute myeloid leukemias|413514777|0-19|All Races|Male and Female|2018-2022
2.0|2.2|2.1|888|Ic Chronic myeloproliferative diseases|413514777|0-19|All Races|Male and Female|2018-2022
1.1|1.3|1.2|500|Id Myelodysplastic syndrome and other myeloproliferative diseases|413514777|0-19|All Races|Male and Female|2018-2022
1.1|1.3|1.2|477|Ie Unspecified and other specified leukemias|413514777|0-19|All Races|Male and Female|2018-2022
0.5|0.6|0.5|226|Not classified by ICCC|413514777|0-19|All Races|Male and Female|2018-2022
2.8|3.1|3.0|1167|V RETINOBLASTOMA|413514777|0-19|All Races|Male and Female|2018-2022
6.7|7.2|7.0|2819|VI RENAL TUMORS|413514777|0-19|All Races|Male and Female|2018-2022
2.9|3.2|3.1|1235|VII HEPATIC TUMORS|413514777|0-19|All Races|Male and Female|2018-2022
9.0|9.6|9.3|3933|VIII MALIGNANT BONE TUMORS|413514777|0-19|All Races|Male and Female|2018-2022
5.0|5.5|5.2|2212|VIIIa Osteosarcomas|413514777|0-19|All Races|Male and Female|2018-2022
0.3|0.4|0.4|152|VIIIb Chondrosarcomas|413514777|0-19|All Races|Male and Female|2018-2022
2.8|3.1|3.0|1240|VIIIc Ewing tumor and related sarcomas of bone|413514777|0-19|All Races|Male and Female|2018-2022
0.4|0.6|0.5|215|VIIId Other specified malignant bone tumors|413514777|0-19|All Races|Male and Female|2018-2022
0.2|0.3|0.3|114|VIIIe Unspecified malignant bone tumors|413514777|0-19|All Races|Male and Female|2018-2022
2.2|2.5|2.3|930|VIIa Hepatoblastoma and mesenchymal tumors of liver|413514777|0-19|All Races|Male and Female|2018-2022
0.6|0.8|0.7|291|VIIb Hepatic carcinomas|413514777|0-19|All Races|Male and Female|2018-2022
~|~|~|~|VIIc Unspecified malignant hepatic tumors|413514777|0-19|All Races|Male and Female|2018-2022
5.9|6.4|6.1|2463|VIa Nephroblastoma and other non-epithelial renal tumors|413514777|0-19|All Races|Male and Female|2018-2022
0.7|0.9|0.8|337|VIb Renal carcinomas|413514777|0-19|All Races|Male and Female|2018-2022
0.0|0.1|0.0|19|VIc Unspecified malignant renal tumors|413514777|0-19|All Races|Male and Female|2018-2022
10.7|11.3|11.0|4632|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|413514777|0-19|All Races|Male and Female|2018-2022
22.8|23.8|23.3|9916|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|413514777|0-19|All Races|Male and Female|2018-2022
0.9|1.1|1.0|419|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|413514777|0-19|All Races|Male and Female|2018-2022
0.4|0.6|0.5|211|XIIa Other specified malignant tumors|413514777|0-19|All Races|Male and Female|2018-2022
0.4|0.6|0.5|208|XIIb Other unspecified malignant tumors|413514777|0-19|All Races|Male and Female|2018-2022
0.2|0.3|0.2|103|XIa Adrenocortical carcinomas|413514777|0-19|All Races|Male and Female|2018-2022
10.2|10.8|10.5|4500|XIb Thyroid carcinomas|413514777|0-19|All Races|Male and Female|2018-2022
0.3|0.5|0.4|166|XIc Nasopharyngeal carcinomas|413514777|0-19|All Races|Male and Female|2018-2022
2.8|3.2|3.0|1264|XId Malignant melanomas|413514777|0-19|All Races|Male and Female|2018-2022
0.1|0.1|0.1|35|XIe Skin carcinomas|413514777|0-19|All Races|Male and Female|2018-2022
8.8|9.3|9.0|3848|XIf Other and unspecified carcinomas|413514777|0-19|All Races|Male and Female|2018-2022
1.6|1.8|1.7|713|Xa Intracranial and intraspinal germ cell tumors|413514777|0-19|All Races|Male and Female|2018-2022
1.2|1.5|1.3|542|Xb Malignant extracranial and extragonadal germ cell tumors|413514777|0-19|All Races|Male and Female|2018-2022
6.8|7.3|7.0|2989|Xc Malignant gonadal germ cell tumors|413514777|0-19|All Races|Male and Female|2018-2022
0.4|0.5|0.5|200|Xd Gonadal carcinomas|413514777|0-19|All Races|Male and Female|2018-2022
0.4|0.5|0.4|188|Xe Other and unspecified malignant gonadal tumors|413514777|0-19|All Races|Male and Female|2018-2022
183.7|189.6|186.7|15567|All ICCC Groups Combined|83213818|0-19|All Races|Male and Female|2019
45.4|48.4|46.9|3883|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|83213818|0-19|All Races|Male and Female|2019
28.5|30.9|29.7|2499|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|83213818|0-19|All Races|Male and Female|2019
28.0|30.4|29.2|2416|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|83213818|0-19|All Races|Male and Female|2019
2.2|2.9|2.5|209|IIIa Ependymomas and choroid plexus tumor|83213818|0-19|All Races|Male and Female|2019
13.4|15.0|14.2|1180|IIIb Astrocytomas|83213818|0-19|All Races|Male and Female|2019
4.5|5.5|5.0|409|IIIc Intracranial and intraspinal embryonal tumors|83213818|0-19|All Races|Male and Female|2019
5.9|7.0|6.5|536|IIId Other gliomas|83213818|0-19|All Races|Male and Female|2019
0.4|0.7|0.5|45|IIIe Other specified intracranial and intraspinal neoplasms|83213818|0-19|All Races|Male and Female|2019
0.3|0.6|0.5|37|IIIf Unspecified intracranial and intraspinal neoplasms|83213818|0-19|All Races|Male and Female|2019
11.6|13.1|12.3|1047|IIa Hodgkin lymphomas|83213818|0-19|All Races|Male and Female|2019
9.7|11.0|10.3|868|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|83213818|0-19|All Races|Male and Female|2019
1.9|2.5|2.2|182|IIc Burkitt lymphoma|83213818|0-19|All Races|Male and Female|2019
4.2|5.2|4.7|382|IId Miscellaneous lymphoreticular neoplasms|83213818|0-19|All Races|Male and Female|2019
