AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-19|0.0|0.0|0.0|33|Mortality|410232494|Hodgkin Lymphoma|2019-2023
0-19|0.1|0.1|0.1|240|Mortality|410232494|Kidney and Renal Pelvis|2019-2023
0-19|0.5|0.5|0.5|2095|Mortality|410232494|Leukemia|2019-2023
0-19|0.1|0.1|0.1|243|Mortality|410232494|Non-Hodgkin Lymphoma|2019-2023
0-19|0.4|0.4|0.4|1715|Mortality|410232494|Other|2019-2023
0-19|0.2|0.2|0.2|797|Mortality|410232494|Soft Tissue|2019-2023
0-14|0.2|0.2|0.2|118|Mortality|61331347|Acute Lymphocytic|2020
0-14|0.1|0.2|0.2|101|Mortality|61331347|Acute Myeloid|2020
0-14|1.8|2.0|1.9|1153|Mortality|61331347|All Cancer Sites Combined|2020
0-14|0.1|0.2|0.1|90|Mortality|61331347|Bones and Joints|2020
0-14|0.6|0.7|0.6|393|Mortality|61331347|Brain and Other Nervous System|2020
0-14|~|~|~|~|Mortality|61331347|Hodgkin Lymphoma|2020
0-14|0.0|0.1|0.1|39|Mortality|61331347|Kidney and Renal Pelvis|2020
0-14|0.4|0.5|0.5|276|Mortality|61331347|Leukemia|2020
0-14|0.0|0.0|0.0|17|Mortality|61331347|Non-Hodgkin Lymphoma|2020
0-14|0.4|0.5|0.4|244|Mortality|61331347|Other|2020
0-14|0.1|0.2|0.2|93|Mortality|61331347|Soft Tissue|2020
0-19|0.2|0.2|0.2|178|Mortality|82873432|Acute Lymphocytic|2020
0-19|0.1|0.2|0.2|133|Mortality|82873432|Acute Myeloid|2020
0-19|2.0|2.1|2.0|1702|Mortality|82873432|All Cancer Sites Combined|2020
0-19|0.2|0.3|0.2|196|Mortality|82873432|Bones and Joints|2020
0-19|0.6|0.7|0.6|522|Mortality|82873432|Brain and Other Nervous System|2020
0-19|~|~|~|~|Mortality|82873432|Hodgkin Lymphoma|2020
0-19|0.0|0.1|0.1|50|Mortality|82873432|Kidney and Renal Pelvis|2020
0-19|0.4|0.5|0.5|392|Mortality|82873432|Leukemia|2020
0-19|0.0|0.1|0.0|33|Mortality|82873432|Non-Hodgkin Lymphoma|2020
0-19|0.4|0.5|0.4|348|Mortality|82873432|Other|2020
0-19|0.2|0.2|0.2|154|Mortality|82873432|Soft Tissue|2020
0-14|0.2|0.3|0.2|134|Mortality|60622548|Acute Lymphocytic|2021
0-14|0.1|0.2|0.1|82|Mortality|60622548|Acute Myeloid|2021
0-14|1.8|2.0|1.9|1130|Mortality|60622548|All Cancer Sites Combined|2021
0-14|0.1|0.1|0.1|73|Mortality|60622548|Bones and Joints|2021
0-14|0.6|0.7|0.6|391|Mortality|60622548|Brain and Other Nervous System|2021
0-14|~|~|~|~|Mortality|60622548|Hodgkin Lymphoma|2021
0-14|0.0|0.1|0.1|39|Mortality|60622548|Kidney and Renal Pelvis|2021
0-14|0.4|0.5|0.4|267|Mortality|60622548|Leukemia|2021
0-14|0.0|0.1|0.1|32|Mortality|60622548|Non-Hodgkin Lymphoma|2021
0-14|0.3|0.4|0.4|231|Mortality|60622548|Other|2021
0-14|0.1|0.2|0.2|96|Mortality|60622548|Soft Tissue|2021
0-19|0.2|0.3|0.2|192|Mortality|82201873|Acute Lymphocytic|2021
0-19|0.1|0.2|0.2|124|Mortality|82201873|Acute Myeloid|2021
0-19|2.0|2.2|2.1|1722|Mortality|82201873|All Cancer Sites Combined|2021
0-19|0.2|0.3|0.2|202|Mortality|82201873|Bones and Joints|2021
0-19|0.6|0.7|0.6|503|Mortality|82201873|Brain and Other Nervous System|2021
0-19|~|~|~|~|Mortality|82201873|Hodgkin Lymphoma|2021
0-19|0.0|0.1|0.1|48|Mortality|82201873|Kidney and Renal Pelvis|2021
0-19|0.4|0.5|0.5|395|Mortality|82201873|Leukemia|2021
0-19|0.0|0.1|0.1|54|Mortality|82201873|Non-Hodgkin Lymphoma|2021
0-19|0.4|0.5|0.4|346|Mortality|82201873|Other|2021
0-19|0.2|0.2|0.2|167|Mortality|82201873|Soft Tissue|2021
0-14|0.2|0.3|0.2|133|Mortality|60070357|Acute Lymphocytic|2022
0-14|0.1|0.2|0.2|105|Mortality|60070357|Acute Myeloid|2022
0-14|1.8|2.0|1.9|1141|Mortality|60070357|All Cancer Sites Combined|2022
0-14|0.1|0.2|0.1|87|Mortality|60070357|Bones and Joints|2022
0-14|0.5|0.7|0.6|367|Mortality|60070357|Brain and Other Nervous System|2022
0-14|~|~|~|~|Mortality|60070357|Hodgkin Lymphoma|2022
0-14|0.1|0.1|0.1|43|Mortality|60070357|Kidney and Renal Pelvis|2022
0-14|0.4|0.5|0.5|293|Mortality|60070357|Leukemia|2022
0-14|0.0|0.1|0.0|23|Mortality|60070357|Non-Hodgkin Lymphoma|2022
0-14|0.3|0.4|0.4|223|Mortality|60070357|Other|2022
0-14|0.1|0.2|0.2|103|Mortality|60070357|Soft Tissue|2022
0-19|0.2|0.3|0.3|212|Mortality|81903660|Acute Lymphocytic|2022
0-19|0.2|0.2|0.2|157|Mortality|81903660|Acute Myeloid|2022
0-19|2.0|2.2|2.1|1772|Mortality|81903660|All Cancer Sites Combined|2022
0-19|0.2|0.3|0.3|235|Mortality|81903660|Bones and Joints|2022
0-19|0.5|0.6|0.6|480|Mortality|81903660|Brain and Other Nervous System|2022
0-19|~|~|~|~|Mortality|81903660|Hodgkin Lymphoma|2022
0-19|0.0|0.1|0.1|49|Mortality|81903660|Kidney and Renal Pelvis|2022
0-19|0.5|0.6|0.5|450|Mortality|81903660|Leukemia|2022
0-19|0.0|0.1|0.0|39|Mortality|81903660|Non-Hodgkin Lymphoma|2022
0-19|0.4|0.4|0.4|329|Mortality|81903660|Other|2022
0-19|0.2|0.3|0.2|180|Mortality|81903660|Soft Tissue|2022
0-14|0.2|0.3|0.2|140|Mortality|59498481|Acute Lymphocytic|2023
0-14|0.1|0.2|0.2|97|Mortality|59498481|Acute Myeloid|2023
0-14|1.8|2.1|2.0|1166|Mortality|59498481|All Cancer Sites Combined|2023
0-14|0.1|0.2|0.2|101|Mortality|59498481|Bones and Joints|2023
0-14|0.6|0.7|0.7|393|Mortality|59498481|Brain and Other Nervous System|2023
0-14|~|~|~|~|Mortality|59498481|Hodgkin Lymphoma|2023
0-14|0.0|0.1|0.1|38|Mortality|59498481|Kidney and Renal Pelvis|2023
0-14|0.4|0.5|0.5|291|Mortality|59498481|Leukemia|2023
0-14|0.0|0.1|0.0|24|Mortality|59498481|Non-Hodgkin Lymphoma|2023
0-14|0.3|0.4|0.4|234|Mortality|59498481|Other|2023
0-14|0.1|0.2|0.1|84|Mortality|59498481|Soft Tissue|2023
0-19|0.2|0.3|0.3|220|Mortality|81573961|Acute Lymphocytic|2023
0-19|0.2|0.2|0.2|157|Mortality|81573961|Acute Myeloid|2023
0-19|2.1|2.3|2.2|1829|Mortality|81573961|All Cancer Sites Combined|2023
0-19|0.2|0.3|0.3|231|Mortality|81573961|Bones and Joints|2023
0-19|0.6|0.7|0.7|533|Mortality|81573961|Brain and Other Nervous System|2023
0-19|~|~|~|~|Mortality|81573961|Hodgkin Lymphoma|2023
0-19|0.0|0.1|0.1|47|Mortality|81573961|Kidney and Renal Pelvis|2023
0-19|0.5|0.6|0.6|453|Mortality|81573961|Leukemia|2023
0-19|0.0|0.1|0.1|52|Mortality|81573961|Non-Hodgkin Lymphoma|2023
0-19|0.4|0.5|0.4|350|Mortality|81573961|Other|2023
0-19|0.2|0.2|0.2|159|Mortality|81573961|Soft Tissue|2023
